Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
9/27/2024,1/10/2025,SO-20241112,9080094927,"Keysight Technologies, Inc.",19,0,POC-410-KS1,WH01X-NTA,
7/4/2024,1/7/2025,POD-240772,SO-20240755,Neousys Technology Incorp.,0,25,POC-330-AEI01-100,WH01X-NTA,SO24070082
7/4/2024,1/7/2025,POD-240772,SO-20240755,Neousys Technology Incorp.,0,25,POC-330,WH01X-NTA,SO24070082
7/3/2024,1/27/2025,SO-20240755,15657,Automated Environments,25,0,POC-330,WH01X-NTA,
7/3/2024,1/10/2025,SO-20240754,15657,Automated Environments,25,0,POC-330,WH01X-NTA,
4/12/2024,1/9/2025,SO-20240438,PO204048,Noah Medical U.S.,12,0,PCIe-AIO-ML,WH01X-NTA,
11/27/2024,2/14/2025,SO-20241418,41441969,Inficon Inc.,45,0,PA-160W-OW,WH01X-NTA,
11/27/2024,1/17/2025,SO-20241417,41441969,Inficon Inc.,45,0,PA-160W-OW,WH01X-NTA,
11/11/2024,1/3/2025,SO-20241334,41451090,Inficon Inc.,50,0,PA-160W-OW,WH01X-NTA,
9/27/2024,1/10/2025,SO-20241112,9080094927,"Keysight Technologies, Inc.",19,0,PA-120W-OW-TB,WH01X-NTA,
9/5/2024,1/10/2025,SO-20240975,9080091097,"Keysight Technologies, Inc.",18,0,PA-120W-OW,WH01X-NTA,
11/27/2024,2/14/2025,SO-20241418,41441969,Inficon Inc.,45,0,Nuvo-9531-IFCN,WH01X-NTA,
11/27/2024,1/17/2025,SO-20241417,41441969,Inficon Inc.,45,0,Nuvo-9531-IFCN,WH01X-NTA,
4/8/2024,3/28/2025,SO-20240408,ING-24-0316,"Ingineerix, LLC",10,0,Nuvo-9531-EN01,WH01X-NTA,
5/31/2024,3/28/2025,SO-20240638,ING Neousys JUN-AUG,"Ingineerix, LLC",10,0,Nuvo-9531-EN01,WH01X-NTA,
5/31/2024,3/28/2025,SO-20240637,ING Neousys JUN-AUG,"Ingineerix, LLC",10,0,Nuvo-9531-EN01,WH01X-NTA,
11/11/2024,1/3/2025,SO-20241334,41451090,Inficon Inc.,50,0,Nuvo-9006E-IFCN,WH01X-NTA,
11/15/2023,1/10/2025,POD-231075,SO-20231096,Neousys Technology Incorp.,0,6,Nuvo-8108GC-QD-A6,WH01X-NTA,SO23110265
