,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
,"07/25/2025","POD-251060","Automated Environments","Neousys Technology Incorp.","Cbl-DB9F-3DB9M-15CM2  1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000. Industrial Computer Acces...","11/19/2025",25,0,25,250.00,250.00
,"09/05/2025","POD-251263","CoastIPC, Inc.","Neousys Technology Incorp.","Cbl-DB9F-3DB9M-15CM2  1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000. Industrial Computer Acces...","09/18/2025",15,0,15,150.00,150.00
"Total Cbl-DB9F-3DB9M-15CM2",,,,,,,115,0,115,1150.00,1150.00
"Cbl-IDC085F-DB9M-30CM",,,,,,,,,,,
,"08/08/2025","POD-251140","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-IDC085F-DB9M-30CM  COM Cable, Wafer 5P Female to DB9 Male w/Nut for Panel, Length:30CM.","10/01/2025",4,0,4,16.00,16.00
,"08/15/2025","POD-251164","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-IDC085F-DB9M-30CM  COM Cable, Wafer 5P Female to DB9 Male w/Nut for Panel, Length:30CM.","10/01/2025",4,0,4,16.00,16.00
"Total Cbl-IDC085F-DB9M-30CM",,,,,,,8,0,8,32.00,32.00
"Cbl-M12A5F-OT2-B-Red-Fuse-100CM",,,,,,,,,,,
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/10/2025",20,0,20,240.00,240.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/17/2025",20,0,20,240.00,240.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/17/2025",20,0,20,240.00,240.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/24/2025",20,0,20,240.00,240.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/17/2025",25,0,25,300.00,300.00
