,"Type","Date","Ship Date","Deliv Date","Terms","Due Date","Num","P. O. #","Name","Qty","Invoiced","Backordered","Amount","Item","Rep","Open Balance","Inventory Site"
"Inventory",,,,,,,,,,,,,,,,,
"Accessory",,,,,,,,,,,,,,,,,
,"Sales Order","09/10/2025","12/31/2025",,"Prepay","09/10/2025","SO-20251287","PO18173","IRD- International Road Dynamics Inc.",1,0,1,24.00,"Accessory:Adapter-Active-DP-HDMI-BENFEI","A702",24.00,"WH01S-NTA"
,"Sales Order","09/10/2025","12/31/2025",,"Net 30","10/10/2025","SO-20251290","PO-12074","Advanced Technology Systems Company",1,0,1,24.00,"Accessory:Adapter-Active-DP-HDMI-BENFEI","A800",24.00,"WH01S-NTA"
"Total Adapter-Active-DP-HDMI-BENFEI",,,,,,,,,,143,0,143,3432.00,,,3432.00,
"Ant-RP_SMAM-WiFi-108MM",,,,,,,,,,,,,,,,,
,"Sales Order","07/22/2025","09/11/2025",,"Net 30","08/21/2025","SO-20251027","83150","MEDATech Engineering Services Ltd.",8,0,8,56.00,"Accessory:Ant-RP_SMAM-WiFi-108MM","A702",56.00,"WH01S-NTA"
,"Sales Order","09/05/2025","10/24/2025",,"Prepay","09/05/2025","SO-20251265","14648","The Alliance",2,0,2,12.00,"Accessory:Ant-RP_SMAM-WiFi-108MM","A800",12.00,"WH01S-NTA"
,"Sales Order","09/16/2025","12/31/2025",,"Prepay","09/16/2025","SO-20251311","14666","The Alliance",20,0,20,120.00,"Accessory:Ant-RP_SMAM-WiFi-108MM","A800",120.00,"WH01S-NTA"
"Total Ant-RP_SMAM-WiFi-108MM",,,,,,,,,,30,0,30,188.00,,,188.00,
"Ant-RP_SMAM-WiFi-196MM1",,,,,,,,,,,,,,,,,
,"Sales Order","03/05/2025","04/24/2026",,"Net 30","04/04/2025","SO-20250329","PO208679","Noah Medical U.S.",4,0,4,24.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",24.00,"WH01S-NTA"
,"Sales Order","03/05/2025","06/24/2026",,"Net 30","04/04/2025","SO-20250330","PO208679","Noah Medical U.S.",10,0,10,60.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",60.00,"WH01S-NTA"
,"Sales Order","03/05/2025","08/25/2026",,"Net 30","04/04/2025","SO-20250331","PO208679","Noah Medical U.S.",10,0,10,60.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",60.00,"WH01S-NTA"
,"Sales Order","03/05/2025","12/26/2025",,"Net 30","04/04/2025","SO-20250332","PO208679","Noah Medical U.S.",2,0,2,12.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",12.00,"WH01S-NTA"
,"Sales Order","03/05/2025","10/24/2025",,"Net 30","04/04/2025","SO-20250326","PO208679","Noah Medical U.S.",10,0,10,60.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",60.00,"WH01S-NTA"
,"Sales Order","03/05/2025","12/26/2025",,"Net 30","04/04/2025","SO-20250327","PO208679","Noah Medical U.S.",10,0,10,60.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",60.00,"WH01S-NTA"
,"Sales Order","03/05/2025","02/20/2026",,"Net 30","04/04/2025","SO-20250328","PO208679","Noah Medical U.S.",10,0,10,60.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",60.00,"WH01S-NTA"
,"Sales Order","03/05/2025","04/24/2026",,"Net 30","04/04/2025","SO-20250329","PO208679","Noah Medical U.S.",6,0,6,36.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",36.00,"WH01S-NTA"
